[2026-05-26T22:35:51+03:00] BRAND: QUBEX SENTINEL | NETWORK: BNB        | Latency: 191542 ns | Block: 109735716 | Valid: true
[2026-05-26T22:35:53+03:00] BRAND: QUBEX SENTINEL | NETWORK: Blast      | Latency: 213074 ns | Block: 37431689 | Valid: true
[2026-05-26T22:36:04+03:00] BRAND: QUBEX SENTINEL | NETWORK: Arbitrum   | Latency: 323410 ns | Block: 271328387 | Valid: true
[2026-05-26T22:36:04+03:00] BRAND: QUBEX SENTINEL | NETWORK: Scroll     | Latency: 322381 ns | Block: 18301294 | Valid: true
[2026-05-26T22:36:06+03:00] BRAND: QUBEX SENTINEL | NETWORK: Mantle     | Latency: 334532 ns | Block: 39139726 | Valid: true
[2026-05-26T22:36:12+03:00] BRAND: QUBEX SENTINEL | NETWORK: Base       | Latency: 406393 ns | Block: 42027922 | Valid: true
[2026-05-26T22:36:13+03:00] BRAND: QUBEX SENTINEL | NETWORK: Polygon    | Latency: 408859 ns | Block: 39062338 | Valid: true
[2026-05-26T22:36:13+03:00] BRAND: QUBEX SENTINEL | NETWORK: Linea      | Latency: 411751 ns | Block: 29770987 | Valid: true
[2026-05-26T22:36:19+03:00] BRAND: QUBEX SENTINEL | NETWORK: Optimism   | Latency: 470024 ns | Block: 44010796 | Valid: true
[2026-05-26T22:36:29+03:00] BRAND: QUBEX SENTINEL | NETWORK: zkSync     | Latency: 569737 ns | Block: 7502305 | Valid: true
[2026-05-26T22:36:29+03:00] BRAND: QUBEX SENTINEL | NETWORK: Metis      | Latency: 568048 ns | Block: 10751871 | Valid: true
[2026-05-26T22:49:11+03:00] BRAND: QUBEX SENTINEL | NETWORK: Optimism   | Latency: 151810 ns | Block: 44011198 | Valid: true
[2026-05-26T22:49:12+03:00] BRAND: QUBEX SENTINEL | NETWORK: Blast      | Latency: 159178 ns | Block: 37442087 | Valid: true
[2026-05-26T22:49:23+03:00] BRAND: QUBEX SENTINEL | NETWORK: Arbitrum   | Latency: 270841 ns | Block: 271329888 | Valid: true
[2026-05-26T22:49:26+03:00] BRAND: QUBEX SENTINEL | NETWORK: Linea      | Latency: 294773 ns | Block: 29771198 | Valid: true
[2026-05-26T22:49:33+03:00] BRAND: QUBEX SENTINEL | NETWORK: Polygon    | Latency: 172529 ns | Block: N/A | Valid: true
[2026-05-26T22:49:33+03:00] BRAND: QUBEX SENTINEL | NETWORK: Base       | Latency: 371214 ns | Block: 42028324 | Valid: true
[2026-05-26T22:49:35+03:00] BRAND: QUBEX SENTINEL | NETWORK: BNB        | Latency: 381122 ns | Block: 109737499 | Valid: true
[2026-05-26T22:49:42+03:00] BRAND: QUBEX SENTINEL | NETWORK: Scroll     | Latency: 465850 ns | Block: 18301433 | Valid: true
[2026-05-26T22:49:43+03:00] BRAND: QUBEX SENTINEL | NETWORK: Metis      | Latency: 470539 ns | Block: 10752023 | Valid: true
[2026-05-26T22:49:58+03:00] BRAND: QUBEX SENTINEL | NETWORK: zkSync     | Latency: 615505 ns | Block: 7502393 | Valid: true
[2026-05-26T22:50:05+03:00] BRAND: QUBEX SENTINEL | NETWORK: Mantle     | Latency: 682992 ns | Block: 39140129 | Valid: true
[2026-05-26T22:52:48+03:00] BRAND: QUBEX SENTINEL | NETWORK: Blast      | Latency: 317479 ns | Block: 37444451 | Valid: true
[2026-05-26T22:52:49+03:00] BRAND: QUBEX SENTINEL | NETWORK: Linea      | Latency: 323951 ns | Block: 29771250 | Valid: true
[2026-05-26T22:52:58+03:00] BRAND: QUBEX SENTINEL | NETWORK: BNB        | Latency: 424553 ns | Block: 109737947 | Valid: true
[2026-05-26T22:53:01+03:00] BRAND: QUBEX SENTINEL | NETWORK: Scroll     | Latency: 450130 ns | Block: 18301465 | Valid: true
[2026-05-26T22:53:09+03:00] BRAND: QUBEX SENTINEL | NETWORK: Mantle     | Latency: 523436 ns | Block: 39140229 | Valid: true
[2026-05-26T22:53:16+03:00] BRAND: QUBEX SENTINEL | NETWORK: Arbitrum   | Latency: 602595 ns | Block: 271330309 | Valid: true
[2026-05-26T22:53:16+03:00] BRAND: QUBEX SENTINEL | NETWORK: Polygon    | Latency: 607658 ns | Block: 39063007 | Valid: true
[2026-05-26T22:53:17+03:00] BRAND: QUBEX SENTINEL | NETWORK: zkSync     | Latency: 608113 ns | Block: 7502406 | Valid: true
[2026-05-26T22:53:25+03:00] BRAND: QUBEX SENTINEL | NETWORK: Metis      | Latency: 683961 ns | Block: 10752058 | Valid: true
[2026-05-26T22:53:33+03:00] BRAND: QUBEX SENTINEL | NETWORK: Base       | Latency: 762183 ns | Block: 42028424 | Valid: true
[2026-05-26T22:54:02+03:00] BRAND: QUBEX SENTINEL | NETWORK: Optimism   | Latency: 1058173 ns | Block: 44011298 | Valid: true
[2026-05-27T00:18:05+03:00] BRAND: QUBEX SENTINEL | NETWORK: Base       | Latency: 380622 ns | Block: 42030979 | Valid: true
[2026-05-27T00:18:05+03:00] BRAND: QUBEX SENTINEL | NETWORK: Optimism   | Latency: 387762 ns | Block: 44013853 | Valid: true
[2026-05-27T00:18:12+03:00] BRAND: QUBEX SENTINEL | NETWORK: Scroll     | Latency: 456676 ns | Block: 18302322 | Valid: true
[2026-05-27T00:18:13+03:00] BRAND: QUBEX SENTINEL | NETWORK: Metis      | Latency: 462187 ns | Block: 10752981 | Valid: true
[2026-05-27T00:18:21+03:00] BRAND: QUBEX SENTINEL | NETWORK: Polygon    | Latency: 545144 ns | Block: 39066415 | Valid: true
[2026-05-27T00:18:29+03:00] BRAND: QUBEX SENTINEL | NETWORK: zkSync     | Latency: 619466 ns | Block: 7502911 | Valid: true
[2026-05-27T00:18:30+03:00] BRAND: QUBEX SENTINEL | NETWORK: Linea      | Latency: 628227 ns | Block: 29772574 | Valid: true
[2026-05-27T00:18:36+03:00] BRAND: QUBEX SENTINEL | NETWORK: Mantle     | Latency: 684243 ns | Block: 39142785 | Valid: true
